city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
Visalia,36.3166666666667,-119.3,101.0,331.0,124442.0,36.266,36.246,0.02,93.928,93.876,0.0512,0.05
Vista,33.1936111111111,-117.241111111111,99.0,325.0,93834.0,18.678,18.678,0.0,48.377,48.377,0.0,0.0
Walnut,34.0333333333333,-117.866666666667,171.0,561.0,29172.0,8.996,8.992,0.004,23.3,23.29,0.01,0.04
WalnutCreek,37.9063888888889,-122.065,,131.0,64173.0,19.769,19.757,0.012,51.201,51.169,0.031,0.06
Wasco,35.5941666666667,-119.340833333333,100.0,328.0,25545.0,9.426,9.426,0.0,24.413,24.413,0.0,0.0
Waterford,37.645,-120.7675,52.0,171.0,8456.0,2.369,2.328,0.041,6.135,6.03,0.105,1.72
Watsonville,36.92,-121.763611111111,9.0,29.0,51199.0,6.783,6.687,0.096,17.569,17.319,0.25,1.42
Weed,41.4241666666667,-122.384444444444,1044.0,3425.0,2967.0,4.795,4.79,0.005,12.417,12.405,0.012,0.1
WestCovina,34.0566666666667,-117.918611111111,110.0,362.0,106098.0,16.09,16.041,0.049,41.671,41.545,0.126,0.3
WestHollywood,34.0877777777778,-118.372222222222,86.0,282.0,34650.0,1.887,1.887,0.0,4.888,4.888,0.0,0.0
WestlakeVillage,34.1419444444444,-118.819444444444,268.0,880.0,8270.0,5.509,5.185,0.32,14.257,13.43,0.828,5.8
Westminster,33.7513888888889,-117.993888888889,12.0,39.0,89701.0,10.049,10.049,0.0,26.027,26.027,0.0,0.0
Westmorland,33.0372222222222,-115.621388888889,,-164.0,2225.0,0.59,0.59,0.0,1.529,1.529,0.0,0.0
WestSacramento,38.5805555555556,-121.530277777778,6.0,20.0,48744.0,22.846,21.425,1.421,59.172,55.491,3.681,6.22
Wheatland,39.01,-121.423055555556,28.0,92.0,3456.0,1.486,1.479,0.007,3.848,3.831,0.017,0.45
Whittier,33.9655555555556,-118.024444444444,112.0,367.0,85331.0,14.7,14.7,0.016,37.0,37.0,0.041,0.11
Wildomar,33.6036111111111,-117.272777777778,387.0,1270.0,32176.0,23.688,23.688,0.0,61.351,61.351,0.0,0.0
Williams,39.1547222222222,-122.149444444444,25.0,82.0,5123.0,5.444,5.444,0.0,14.101,14.101,0.0,0.0
Willits,39.4097222222222,-123.355555555556,424.0,1391.0,4888.0,2.803,2.798,0.005,7.26,7.248,0.013,0.17
Willows,39.5244444444444,-122.193611111111,42.0,138.0,6166.0,2.873,2.847,0.026,7.441,7.373,0.068,0.92
Windsor,38.5461111111111,-122.805277777778,36.0,118.0,26801.0,7.293,7.268,0.025,18.888,18.824,0.064,0.34
Winters,38.525,-121.970833333333,40.0,131.0,6624.0,2.937,2.912,0.025,7.607,7.543,0.065,0.85
Woodlake,36.4163888888889,-119.099444444444,134.0,440.0,7279.0,2.765,2.248,0.517,7.159,5.821,1.338,18.69
Woodland,38.6786111111111,-121.773333333333,21.0,69.0,55468.0,15.303,15.303,0.0,39.634,39.634,0.0,0.0
Woodside,37.4208333333333,-122.259722222222,117.0,384.0,5287.0,11.732,11.732,0.0,30.386,30.386,0.0,0.0
YorbaLinda,33.888551,-117.813231,82.3,270.0,65237.0,20.018,19.483,0.535,51.847,50.46,1.387,2.67
Yountville,38.4030555555555,-122.362222222222,30.0,98.0,2933.0,1.531,1.531,0.0,3.966,3.966,0.0,0.0
Yreka,41.7266666666667,-122.6375,787.0,2582.0,7765.0,10.053,9.98,0.073,26.036,25.847,0.188,0.72
YubaCity,39.1347222222222,-121.626111111111,18.0,59.0,64925.0,14.656,14.578,0.078,37.959,37.758,0.201,0.53
Yucaipa,34.0302777777778,-117.048611111111,798.0,2618.0,51367.0,27.893,27.888,0.005,72.244,72.231,0.013,0.02
YuccaValley,34.1333333333333,-116.416666666667,1027.0,3369.0,20700.0,40.015,40.015,0.0,103.639,103.639,0.0,0.0
