city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
Ceres,37.6013888888889,-120.957222222222,28.0,92.0,45417.0,8.019,8.011,0.008,20.771,20.749,0.022,0.1
Cerritos,33.8683333333333,-118.0675,14.0,34.0,49041.0,8.856,8.725,0.131,22.937,22.598,0.339,1.48
Chico,39.74,-121.835555555556,74.0,245.0,86187.0,33.095,32.923,0.172,85.716,85.271,0.446,0.52
Chino,34.0177777777778,-117.69,222.0,728.0,77983.0,29.652,29.639,0.013,76.799,76.766,0.033,0.04
ChinoHills,33.9752777777778,-117.723055555556,365.0,1070.0,75655.0,44.749,44.681,0.068,115.899,115.723,0.175,0.15
Chowchilla,37.1166666666667,-120.266666666667,73.0,240.0,18720.0,7.661,7.661,0.0,19.842,19.842,0.0,0.0
ChulaVista,32.6277777777778,-117.048055555556,21.0,69.0,243916.0,52.094,49.631,2.463,134.925,128.545,6.38,4.73
CitrusHeights,38.7,-121.283333333333,50.0,164.0,83301.0,14.228,14.228,0.0,36.851,36.851,0.0,0.0
Claremont,34.11,-117.719722222222,,,34926.0,13.486,13.348,0.138,34.93,34.571,0.358,1.03
Clayton,37.9411111111111,-121.935833333333,120.0,394.0,10897.0,3.836,3.836,0.0,9.935,9.935,0.0,0.0
Clearlake,38.9583333333333,-122.626388888889,432.0,1417.0,15250.0,10.581,10.129,0.452,27.404,26.234,1.17,4.27
Cloverdale,38.7991666666667,-123.017222222222,,335.0,8618.0,2.648,2.648,0.0,6.857,6.857,0.0,0.0
Clovis,36.8252777777778,-119.703055555556,110.0,361.0,101314.0,23.278,23.278,0.0,60.289,60.289,0.0,0.0
Coachella,33.6794444444444,-116.174444444444,-20.74,-66.0,40704.0,28.95,28.95,0.0,74.981,74.981,0.0,0.0
Coalinga,36.1397222222222,-120.360277777778,205.0,673.0,13380.0,6.15,6.119,0.031,15.927,15.847,0.08,0.5
Colfax,39.0972222222222,-120.953888888889,739.0,2425.0,1963.0,1.407,1.407,0.0,3.645,3.645,0.0,0.0
Colma,37.6788888888889,-122.455555555556,37.0,121.0,1792.0,1.909,1.909,0.0,4.945,4.945,0.0,0.0
Colton,34.065,-117.321666666667,306.0,1004.0,52154.0,16.039,15.324,0.715,41.541,39.689,1.852,4.46
Colusa,39.2144444444444,-122.009444444444,16.0,52.0,5971.0,1.834,1.834,0.0,4.751,4.751,0.0,0.0
Commerce,34.0005555555556,-118.154722222222,43.0,141.0,12823.0,6.538,6.537,0.001,16.933,16.93,0.003,0.02
Compton,33.8966666666667,-118.225,21.0,69.0,96455.0,10.116,10.012,0.104,26.202,25.932,0.27,1.03
Concord,37.9780555555556,-122.031111111111,26.0,85.3,122067.0,30.546,30.546,0.0,79.114,79.114,0.0,0.0
Corcoran,36.0980555555556,-119.560277777778,63.0,207.0,25515.0,7.467,7.467,0.0,19.338,19.338,0.0,0.0
